kind,slug,name,location,setCount,needs,imageUrl,website,instagram,youtube,soundcloud,twitter
dj,vini-vici,Vini Vici,"Afula, Israel",30,website,https://cdn-images.dzcdn.net/images/artist/6f2c6e7665fe19b2528c9e872d62b90c/250x250-000000-80-0-0.jpg,Not found,https://www.instagram.com/vinivicimusic/,https://www.youtube.com/@ViniViciMusic,https://soundcloud.com/vinivicimusic,https://x.com/vinivicimusic
dj,hannah-laing,Hannah Laing,"Dundee, UK",18,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/cdb935c090651b83a04bac45d5f4aa91/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@HannahLaingDJ,https://soundcloud.com/hannahlaingdj,Not found
dj,max-styler,Max Styler,Not found,16,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/eb050be68c88feb90e8aa975c7aad42f/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@MaxStyler,https://soundcloud.com/maxstyler,Not found
dj,joseph-capriati,Joseph Capriati,"Caserta, Italy",14,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/f3f673823ccb5c53b75debe36d350307/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@principello1212M,https://soundcloud.com/joseph-capriati,Not found
dj,castion,Castion,"Tenerife, Spain",13,website,https://cdn-images.dzcdn.net/images/artist/190a0a5fc5c3b05e77765085d3062b6c/250x250-000000-80-0-0.jpg,Not found,https://instagram.com/castionmusic,https://www.youtube.com/@Castion,https://soundcloud.com/castion,https://x.com/CastionMusic
dj,crusy,Crusy,"Madrid, Spain",6,website|twitter,https://cdn-images.dzcdn.net/images/artist/ccf9697a5ba5ad75bd082674dfee85a5/250x250-000000-80-0-0.jpg,Not found,https://instagram.com/crusyofficial,https://www.youtube.com/@Crusy,https://soundcloud.com/crusyofficial,Not found
dj,jazzy,Jazzy,"Dublin, Ireland",6,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/d6292100f52d0232b8b8836539da02af/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@JazzyOfficial,https://soundcloud.com/jazzydublin,Not found
dj,mason-collective,Mason Collective,"Manchester, UK",6,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/42a95684e854e0d34750be163eb34ae5/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@masoncollective5299,https://soundcloud.com/masoncollective,Not found
dj,dj-sredna,DJ Sredna,Not found,5,website|twitter,https://img.hearthis.at/0/3/4/_/uploads/229446/image_user/w1000_h1000_q70_ptrue_v2_----cropped_1540898865430.jpg,Not found,https://www.instagram.com/dj_sredna,https://www.youtube.com/channel/UCvNjJsRsBs9ujBQuUA9rVPQ,https://soundcloud.com/djsredna,Not found
dj,eli-brown,Eli Brown,"Bristol, UK",5,website|twitter,https://cdn-images.dzcdn.net/images/artist/97ebf1084bb11f8febd76a2b5e926eee/250x250-000000-80-0-0.jpg,https://elibrownbeats.com/,https://instagram.com/elibrownbeats,https://www.youtube.com/@elibrownbeats,https://soundcloud.com/elibrownbeats,Not found
