kind,slug,name,field,value,evidence
dj,ferry-corsten,Ferry Corsten,imageUrl,https://yt3.googleusercontent.com/vOXXNqsuTwHf6oO4sciPyLoKAv_SNBhe5T6TJ9qJOQ6RnFG8SLMQarrpic_eQbpraQRkGApr=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
dj,ferry-corsten,Ferry Corsten,instagram,https://www.instagram.com/ferrycorsten/,official channel Ferry Corsten
dj,ferry-corsten,Ferry Corsten,youtube,https://www.youtube.com/@ferrycorsten,official channel Ferry Corsten
festival,tomorrowland,Tomorrowland,imageUrl,https://yt3.googleusercontent.com/bVYSBgDgjx0Onq0N5WPEZkbwlwGNECTsjzQorUshOfrebX0Y5sYWBaVOQ_HhjJUN847tBkw2=s900-c-k-c0x00ffffff-no-rj,avatar of official channel
festival,tomorrowland,Tomorrowland,youtube,https://www.youtube.com/@tomorrowland,official channel @tomorrowland
festival,tomorrowland,Tomorrowland,twitter,https://x.com/tomorrowland,official channel @tomorrowland
dj,cloonee,Cloonee,imageUrl,https://yt3.googleusercontent.com/jgUDTP7b41IgBMj8xdw24I7epnKmN2Ipc2C7cVa__fwv_64HNMDfJ5Etoo7hk5BrkvFwGl17Iw=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
dj,matroda,Matroda,imageUrl,https://yt3.googleusercontent.com/x934dSo2F4_CkPLGZqS-IaE5L_Xp1l_P05PB7XsmWjVOaTocBJX8KwTdY4jnV7m3paHUk8f-rA=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
dj,matroda,Matroda,instagram,https://www.instagram.com/matrodamusic/,official channel MATRODA
dj,matroda,Matroda,youtube,https://www.youtube.com/@MATRODAMUSIC,official channel MATRODA
dj,matroda,Matroda,twitter,https://x.com/matrodamusic,official channel MATRODA
dj,tchami,Tchami,imageUrl,https://yt3.googleusercontent.com/ytc/AIdro_mgMdpLq1nsujA7H2pi-Hw2e9NRC9yxyx0EmMseN7c=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
dj,tchami,Tchami,youtube,https://www.youtube.com/@TchamiTV,official channel Tchami
dj,chris-lake,Chris Lake,imageUrl,https://yt3.googleusercontent.com/HqsE6NKLvAKvNRWClmpIPFoov0e9EgMvnobH3ptU9quZJaAnnKxgyOzUl7btGQ7OLhfZ0jXa1Q=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
festival,edc-lv,EDC Las Vegas,imageUrl,https://d3vhc53cl8e8km.cloudfront.net/hello-staging/wp-content/uploads/sites/21/2026/05/19195123/edclv_2027_mk_te_twoweekend_fest_site_seo_1200x630_r01.jpg,og:image on official site
festival,edc-lv,EDC Las Vegas,instagram,https://www.instagram.com/edc_lasvegas/,official site https://lasvegas.edc.com/
festival,edc-lv,EDC Las Vegas,twitter,https://x.com/EDC_LasVegas,official site https://lasvegas.edc.com/
festival,hard-summer,HARD Summer,imageUrl,https://dm3381rcqf07k.cloudfront.net/multisite4/wp-content/uploads/sites/4/2019/01/30162440/tablet.png,og:image on official site
club,elrow,elrow,website,https://elrow.com/,official site
club,elrow,elrow,instagram,https://www.instagram.com/elrowofficial/,official site
club,elrow,elrow,twitter,https://x.com/elrow_,official site
dj,ac-slater,AC Slater,imageUrl,https://yt3.googleusercontent.com/_CL0j27_sUyWKsKiRMZykqppprvP475TFDgnz-1IjIs1LWNVFrk9egaEbgVklSt_snNsmbdMSw=s900-c-k-c0x00ffffff-no-rj,avatar of official channel
dj,ac-slater,AC Slater,twitter,https://x.com/djacslater,"official channel @djacslater (official, from export)"
dj,ardalan,Ardalan,imageUrl,https://yt3.googleusercontent.com/_p3W6CjFv5CUFHgHJrQWAD8kNERSpd3GWkgrmkJjX8gtz1FL0Qu8ILjLSiSmys8z89wQRROqsg=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
dj,ardalan,Ardalan,youtube,https://www.youtube.com/@Ardalan-music,official channel Ardalan Music
dj,bradeazy,bradeazy,imageUrl,https://yt3.googleusercontent.com/ejjkXVAeRR7Xs0eVEvjMy8nCsxE3hLRFr-S88UEIOEko7OVs8AD4vzxxIPGXdbA4iBWJmICq=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
dj,dr-fresch,Dr. Fresch,imageUrl,https://yt3.googleusercontent.com/7wMDwvKbZTLEVCPI2_k_tezlmZBMyOPvfbSHxLJhYMKoasDNxUAiGTpiwlOmGn2dK5Z1miskGg=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
dj,dr-fresch,Dr. Fresch,youtube,https://www.youtube.com/@DrFreschTV,official channel Dr. Fresch
dj,dr-fresch,Dr. Fresch,twitter,https://x.com/drfresch,official channel Dr. Fresch
dj,kyle-walker,Kyle Walker,,,@KyleWalker6ix has no published links — cannot confirm it is the DJ
dj,malaa,Malaa,imageUrl,https://yt3.googleusercontent.com/49BQwS44A6epGxh-PyBu5Q4AFoJyx2akz806OyKticOdmEVlNSco4odvLcDXL-_PnSzXZLWTKdw=s900-c-k-c0x00ffffff-no-rj,youtube channel avatar
dj,malaa,Malaa,instagram,https://www.instagram.com/malaamusic/,official channel Malaa
dj,malaa,Malaa,youtube,https://www.youtube.com/@malaa_music,official channel Malaa
dj,malaa,Malaa,twitter,https://x.com/Malaamusic,official channel Malaa
