slug,artist,title,plays,isrc,beatportUrl,confidence,source
ferry-corsten-connect-intro-edit-flashover,Ferry Corsten,Connect (Intro Edit) [Flashover],30,NLQ882300006,https://www.beatport.com/track/connect/17595139,medium,beatport
dreamstate-by-vini-vici-your-psy-trance-destination,Dreamstate By Vini Vici,Your Psy Trance Destination,29,,,low,no-match
mightyfools-footrocker-get-your-get-your-hands-up-acappella,Mightyfools,"Footrocker (Get Your, Get Your Hands Up Acappella)",11,NLS241203478,https://www.beatport.com/track/footrocker/4437156,medium,beatport
timmy-trumpet-frank-walker-john-martin-all-my-life-feat-john-martin-extended-mix,"Timmy Trumpet, Frank Walker, John Martin",All My Life (feat. John Martin) [Extended Mix],10,NLZ542600169,,medium,musicbrainz
steve-aoki-weirder-things-lucas-steve-remix,Steve Aoki,Weirder Things (Lucas & Steve Remix),9,USA2P2570495,https://www.beatport.com/track/weirder-things/26745003,high,beatport
james-hype-helicopter-https-lnk-to-jh-heli,James Hype,'Helicopter' https://lnk.to/JH-HELI,7,US39N2205148,https://www.beatport.com/track/helicopter/17286765,medium,beatport
john-summit-ft-hayla-where-you-are-acappella,John Summit ft. HAYLA,Where You Are (Acappella),7,USUG12301338,https://www.beatport.com/track/where-you-are/24364611,medium,beatport
kid-cudi-ft-mgmt-ratatat-pursuit-of-happiness-steve-aoki-remix,Kid Cudi ft. MGMT & Ratatat,Pursuit Of Happiness (Steve Aoki Remix),7,USUM70917762,https://www.beatport.com/track/pursuit-of-happiness/12110556,high,beatport
martin-garrix-dua-lipa-scared-to-be-lonely-acappella,Martin Garrix & Dua Lipa,Scared To Be Lonely (Acappella),7,NLM5S1600035,https://www.beatport.com/track/scared-to-be-lonely/9092135,medium,beatport
avicii-ft-sandro-cavazza-without-you-acappella,Avicii ft. Sandro Cavazza,Without You (Acappella),6,SE5R71700101,https://www.beatport.com/track/without-you/24344586,medium,beatport
convex-id,Convex,ID,6,,,low,no-match
da-hool-meet-her-at-the-love-parade,Da Hool,Meet Her At The Love Parade,6,BEIW12400312,https://www.beatport.com/track/meet-her-at-the-love-parade/18982592,high,beatport
daft-punk-around-the-world-westend-edit-2,Daft Punk,Around The World (Westend Edit),6,GBDUW0600057,https://www.beatport.com/track/around-the-world/5811846,medium,beatport
jay-robinson-ft-liinks-my-church-https-lnk-to-mychurch,Jay Robinson ft. LIINKS,My Church https://lnk.to/MYCHURCH,6,,,low,no-match
masters-at-work-work-acappella,Masters At Work,Work (Acappella),6,GBCFZ0701294,,medium,musicbrainz
r3wire-nukey-transition-https-stereohype-lnk-to-transition,R3WIRE & NuKey,Transition https://stereohype.lnk.to/Transition,6,US39N2304650,https://www.beatport.com/track/transition/17674723,medium,beatport
reblok-want-you-https-lnk-to-rb-want,Reblok,Want You https://lnk.to/rb-want,6,US39N2307739,https://www.beatport.com/track/want-you/17851932,medium,beatport
themba-synchro-system-themba-s-herd-mix-extended-mix-feat-king-sunny-ade-his-african-beats,THEMBA,"Synchro System (THEMBA's Herd Mix) (Extended Mix) feat. King Sunny Ade,His African Beats",6,,,low,no-match
tita-lau-one-of-a-kind-truth-x-lies-remix-https-lnk-to-txlremix,Tita Lau,One Of A Kind (Truth x Lies Remix) https://lnk.to/txlremix,6,US39N2310378,https://www.beatport.com/track/one-of-a-kind/17974382,medium,beatport
tita-lau-one-of-a-kind-https-lnk-to-tl-one,Tita Lau,One Of A Kind https://lnk.to/tl-one,6,US39N2304976,https://www.beatport.com/track/one-of-a-kind/17719739,medium,beatport
youtube-biscits,Youtube,@Biscits,6,,,low,no-match
zurra-wasting-my-time-https-lnk-to-zu-wmt,Zurra,Wasting My Time https://lnk.to/zu-wmt,6,US39N2313195,https://www.beatport.com/track/wasting-my-time/18059848,medium,beatport
alesso-get-your-groove-on,Alesso,Get Your Groove On,5,BE5KW2601233,https://www.beatport.com/track/get-your-groove-on/30172322,high,beatport
atb-9pm-till-i-come-james-hype-edit,ATB,9PM (Till I Come) (James Hype Edit),5,DEN060301008,https://www.beatport.com/track/9-pm-till-i-come/18448254,medium,beatport
avicii-levels-acappella,Avicii,Levels (Acappella),5,SEUM71100962,https://www.beatport.com/track/levels/15757104,medium,beatport
calvin-harris-disciples-ft-ina-wroldsen-how-deep-is-your-love-acappella,Calvin Harris & Disciples ft. Ina Wroldsen,How Deep Is Your Love (Acappella),5,GBARL1501087,https://www.beatport.com/track/how-deep-is-your-love/6960786,medium,beatport
coldplay-a-sky-full-of-stars-acappella,Coldplay,A Sky Full Of Stars (Acappella),5,GBAYE1400990,https://www.beatport.com/track/a-sky-full-of-stars/5600045,medium,beatport
congorock-ft-mr-lexx-babylon-david-guetta-marten-horger-pres-men-machine-kenz-rework,Congorock ft. Mr. Lexx,Babylon (David Guetta & MARTEN HØRGER pres. Men Machine & KENZ Rework),5,,,low,no-match
disaia-opium-https-lnk-to-sh-opium,Disaia,Opium https://lnk.to/sh-opium,5,US38Y2300361,https://www.beatport.com/track/opium/18106893,medium,beatport
