slug,artist,title,mix,remixer,genre,plays,isrc,beatportUrl,spotifyUrl
emanuel-satie-maga-sean-doron-moving-on-original-mix,"Emanuel Satie, Maga, Sean Doron",Moving On (Original Mix),Original Mix,,House,5,,https://www.beatport.com/track/moving-on/27790487,
alok-they-want-your-soul-extended-mix,Alok,They Want Your Soul (Extended Mix),Extended Mix,,House,4,,https://www.beatport.com/track/they-want-your-soul/29654081,
arabella-nabucco-m-i-d-o-r-remix,Arabella,Nabucco (M.I.D.O.R. Remix),M.I.D.O.R. Remix,M.I.D.O.R.,Trance,4,,,https://open.spotify.com/track/1lTUu57xRqVPcoKVHOu7vD
joseph-armani-pres-corkscrew-elbow-koster-remix,Joseph Armani pres. Corkscrew,Elbow (Koster Remix),Koster Remix,Koster,Trance,4,,,https://open.spotify.com/track/0LA2Hh7lQeaJ1F9l5BWtSB
rbor-tayllor-craya-mr-v-home-feat-mr-v-extended-mix,"RBØR, Tayllor, Craya, Mr. V",Home (feat. Mr. V) [Extended Mix],,,House,4,,https://www.beatport.com/track/home-feat-mr-v/28443056,
utopia-greenjack-enigma-extended-mix,"UTOPIA, Greenjack",Enigma (Extended Mix),Extended Mix,,House,4,,https://www.beatport.com/track/enigma/23447664,
alesso-pendulum-fade-too-biased-extended-remix,"Alesso, Pendulum",FADE (TOO BIASED Extended Remix),TOO BIASED Extended Remix,TOO BIASED Extended,House,3,,https://www.beatport.com/track/fade/28779311,
alesso-sacha-destiny-extended-mix,"Alesso, SACHA",Destiny (Extended Mix),Extended Mix,,House,3,,https://www.beatport.com/track/destiny/22279721,
alok-jim-cummings-rave-the-world-feat-jim-cummings-extended-mix,"Alok, Jim Cummings",Rave The World (feat. Jim Cummings) [Extended Mix],,,House,3,,https://www.beatport.com/track/rave-the-world-feat-jim-cummings/29654082,
biscits-crush-extended-mix,Biscits,Crush (Extended Mix),Extended Mix,,Tech House,3,,https://www.beatport.com/track/crush/20362602,
dantiez-mauro-venti-the-saunderson-brothers-jkln-you-move-me-extended-mix,"Dantiez, Mauro Venti, The Saunderson Brothers, JKLN",You Move Me (Extended Mix),Extended Mix,,House,3,,https://www.beatport.com/track/you-move-me/29216516,
dillon-francis-marten-horger-on-a-trip-extended-mix,"Dillon Francis, Marten Horger",On A Trip (Extended Mix),Extended Mix,,Bass House,3,,https://www.beatport.com/track/on-a-trip-extended-mix/18343043,
dom-dolla-nathan-nicholson-no-room-for-a-saint-from-f1-the-movie-walker-royce-remix,Dom Dolla & Nathan Nicholson,No Room For A Saint (From F1® The Movie) (Walker & Royce Remix),Walker & Royce Remix,Walker & Royce,Tech House,3,,https://www.beatport.com/track/no-room-for-a-saint-feat-nathan-nicholson-walker-royce-remix/21233193,
green-velvet-detlef-bounce-ur-body-extended-mix,"Green Velvet, Detlef",Bounce UR Body (Extended Mix),Extended Mix,,House,3,,https://www.beatport.com/track/bounce-ur-body/29206280,
